tweet,task,preprocessed,gpe_count,org_count,sentence_count,pos_tagged,noun
@USER What ad hominem. He is paid by the e cigarettes industry. In what universe people tend to be neutral when it gets to their paycheck. Get anything out there and it will be cited. Not everybody knows the truth about people motivations. Welcome to planet earth when money talks,NOT,user what ad hominem. he is paid by the e cigarettes industry. in what universe people tend to be neutral when it gets to their paycheck. get anything out there and it will be cited. not everybody knows the truth about people motivations. welcome to planet earth when money talks,0.0,0.058823529411764705,0.375,user_NOUN ad_NOUN hominem_NOUN pay_VERB e_PROPN cigarette_NOUN industry_NOUN universe_ADJ people_NOUN tend_VERB neutral_ADJ get_VERB paycheck_NOUN cite_VERB everybody_PRON know_VERB truth_NOUN people_NOUN motivation_NOUN welcome_ADJ planet_VERB earth_NOUN money_NOUN talk_VERB,user ad hominem e cigarette industry people paycheck truth people motivation earth money
+++ I can't prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬@USER bashing PM @USER can't help but think they're also egging the former to continue the bashing to boost their fortune(s) vainly. URL,NOT,+++ i can't prove causation either but while the conservatives in cda surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬user bashing pm user can't help but think they're also egging the former to continue the bashing to boost their fortune(s) vainly. url,0.0,0.11764705882352941,0.125,+_X +_PROPN +_NUM prove_VERB causation_NOUN conservative_NOUN cda_PROPN surely_ADV love_VERB idea_NOUN 𝙿𝚎𝚝𝚊𝚕𝚜_PROPN 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬user_ADJ bash_VERB pm_NOUN user_NOUN help_VERB think_VERB egg_VERB continue_VERB bashing_NOUN boost_VERB fortune(s_NOUN vainly_ADV url_PROPN,+ causation conservative cda idea 𝙿𝚎𝚝𝚊𝚕𝚜 pm user bashing fortune(s url
@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,NOT,user ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for manmarziyaan 🤠👍,0.0,0.058823529411764705,0.25,user_PROPN ur_PROPN straight_PROPN forword_NOUN man_NOUN 👌_PROPN see_VERB u_NOUN dance_NOUN dewwane_NOUN ur_PROPN talk_VERB free_ADJ ky_X ap_PROPN kitnay_PROPN porrany_ADJ ho_PROPN industry_PROPN mein_PROPN like_VERB ur_INTJ quality_NOUN u_PROPN gather_VERB ur_PROPN senior_ADJ 💚_PROPN artist_NOUN love_NOUN manmarziyaan_PROPN 🤠_SPACE 👍_PUNCT,user ur straight forword man 👌 u dance dewwane ur ap kitnay ho industry mein quality u ur 💚 artist love manmarziyaan
@USER @USER F Hope! Since he’s ‘NOT smarter than a 5th grader’ maybe she is!,OFF,user f hope ! since he’s ‘not smarter than a 5th grader’ maybe she is !,0.0,0.0,0.125,user_PROPN f_PROPN hope_PROPN smart_ADJ 5th_ADJ grader_NOUN maybe_ADV,user f hope grader
@USER Funny how I never get asked to vote in any of these FAKE polls,NOT,user funny how i never get asked to vote in any of these fake polls,0.0,0.0,0.0625,user_NOUN funny_ADJ ask_VERB vote_VERB fake_ADJ poll_NOUN,user poll
@USER Sorry you’re a socialist!! I contributed to Ted Cruz!! Sick of liberals,OFF,user sorry you’re a socialist ! ! i contributed to ted cruz ! ! sick of liberals,0.0,0.058823529411764705,0.1875,user_NOUN sorry_ADJ socialist_NOUN contribute_VERB ted_PROPN cruz_NOUN sick_ADJ liberal_NOUN,user socialist ted cruz liberal
@USER His eyes are fucking louder than his words!!!! 😍😍💜💜,OFF,user his eyes are fucking louder than his words ! ! ! ! 😍😍💜💜,0.0,0.058823529411764705,0.125,user_NOUN eye_NOUN fuck_VERB louder_ADV word_NOUN 😍_PROPN 😍_PROPN 💜_PROPN 💜_NUM,user eye word 😍 😍 💜
&amp; could prove we're in opposite roles? THE DUALITY OF EVERYTHING. very scary. BUT i can't feed that thought rn).  need to think abt how grateful i am that she's saying these things bc it's finally getting to me that i can't keep caring abt her &amp; that she is not who i think she is,NOT,&amp; could prove we're in opposite roles ? the duality of everything. very scary. but i can't feed that thought rn). need to think abt how grateful i am that she's saying these things bc it's finally getting to me that i can't keep caring abt her &amp; that she is not who i think she is,0.0,0.058823529411764705,0.4375,amp_PROPN prove_VERB opposite_ADJ role_NOUN duality_NOUN scary_ADJ feed_VERB think_VERB rn_ADP need_VERB think_VERB abt_PROPN grateful_ADJ say_VERB thing_NOUN bc_PROPN finally_ADV get_VERB care_VERB abt_VERB amp_PROPN think_VERB,amp role duality abt thing bc amp
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Killing the number is finishing your time... No parole... You are done,NOT,user killing the number is finishing your time... no parole... you are done,0.0,0.0,0.1875,user_NOUN kill_VERB number_NOUN finish_VERB time_NOUN parole_NOUN,user number time parole
@USER Do I care 🚫pe.  Hope they fold like a cheap table.  Wonder what the spoiled primadonnas do when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,OFF,user do i care 🚫pe. hope they fold like a cheap table. wonder what the spoiled primadonnas do when their huge salaries can't be made. bet it won't be bailed out like gm &amp; too big to fail banks were,0.0,0.11764705882352941,0.25,user_NOUN care_VERB 🚫_PROPN pe_PROPN hope_VERB fold_VERB like_INTJ cheap_ADJ table_NOUN wonder_VERB spoiled_ADJ primadonna_NOUN huge_ADJ salary_NOUN bet_VERB will_AUX bail_VERB like_ADP gm_PROPN amp_PROPN big_ADJ fail_VERB bank_NOUN,user 🚫 pe table primadonna salary gm amp bank
@USER NEITHER DOES ANTIFA OR BLACK LIVES MATTER OR ANY OTHER SOROS FUNDED GROUPS,OFF,user neither does antifa or black lives matter or any other soros funded groups,0.0,0.0,0.0625,user_NOUN antifa_NOUN black_ADJ life_NOUN matter_ADV soros_ADV fund_VERB group_NOUN,user antifa life group
@USER @USER This Soros guy needs to be investigated. He's been kicked out of other nations &amp; here his name keeps coming up with all these anti-American groups. Finances Antifa. Pays folks to act crazy at Trump events. I know he is against our sovereignty. He hates our Constitutional rights.,OFF,user this soros guy needs to be investigated. he's been kicked out of other nations &amp; here his name keeps coming up with all these anti-american groups. finances antifa. pays folks to act crazy at trump events. i know he is against our sovereignty. he hates our constitutional rights.,0.0,0.058823529411764705,0.375,user_NOUN soros_ADJ guy_NOUN need_VERB investigate_VERB kick_VERB nation_NOUN amp_PROPN keep_VERB come_VERB anti_ADJ american_ADJ group_NOUN finances_PROPN antifa_PROPN pay_VERB folk_NOUN act_VERB crazy_ADJ trump_NOUN event_NOUN know_VERB sovereignty_NOUN hate_VERB constitutional_ADJ right_NOUN,user guy nation amp group finances antifa folk trump event sovereignty right
Keep Texas RED #Cruz 🇺🇸 We are the MAGA CAMPAIGN,NOT,keep texas red cruz 🇺🇸 we are the maga campaign,0.2,0.058823529411764705,0.0625,texas_PROPN red_PROPN cruz_PROPN 🇺_NUM 🇸_NOUN maga_NOUN campaign_NOUN,texas red cruz 🇸 maga campaign
@USER Bono can go away now the 90s are over you sick now,OFF,user bono can go away now the 90s are over you sick now,0.0,0.0,0.0625,user_PROPN bono_PROPN away_ADV 90_NOUN sick_ADJ,user bono 90
@USER Yea he is he said he would if Tua was healthy,NOT,user yea he is he said he would if tua was healthy,0.0,0.0,0.0625,user_NOUN yea_PROPN say_VERB tua_PROPN healthy_ADJ,user yea tua
@USER Ah... but aren't the railways so much better now they've been privatised by the @USER  URL,NOT,user ah... but aren't the railways so much better now they've been privatised by the user url,0.0,0.058823529411764705,0.0625,user_PROPN ah_INTJ railway_NOUN well_ADJ privatise_VERB user_NOUN url_PROPN,user railway user url
@USER The Democrats do not care ...they are out to destroy ..does not matter just so they are Republicans &amp; Conservatives ⁉️,OFF,user the democrats do not care ...they are out to destroy ..does not matter just so they are republicans &amp; conservatives ⁉️,0.0,0.0,0.125,user_NOUN democrats_PROPN care_VERB destroy_VERB matter_VERB republicans_PROPN amp_PROPN conservative_NOUN ⁉️_SPACE,user democrats republicans amp conservative
@USER You are. But you are also sick and that alerts my doctor side.,NOT,user you are. but you are also sick and that alerts my doctor side.,0.0,0.058823529411764705,0.125,user_NOUN sick_ADJ alert_VERB doctor_NOUN,user doctor
@USER He’s a disgrace to his party and all he claims to stand for. He’s not on the side of conservatives. He just wants to make a name for himself and anybody’s cost.,OFF,user he’s a disgrace to his party and all he claims to stand for. he’s not on the side of conservatives. he just wants to make a name for himself and anybody’s cost.,0.0,0.0,0.1875,user_NOUN disgrace_NOUN party_NOUN claim_VERB stand_VERB conservative_NOUN want_VERB anybody_PRON cost_NOUN,user disgrace party conservative cost
@USER He's like Meuller Hunted by A Master Sportsman / and the most powerful man in the world / Barry armed Trump Unwittingly with Lethal Force / Barry Never thought Killary would lose / URL,NOT,user he's like meuller hunted by a master sportsman / and the most powerful man in the world / barry armed trump unwittingly with lethal force / barry never thought killary would lose / url,0.0,0.17647058823529413,0.1875,user_PROPN like_SCONJ meuller_NOUN hunt_VERB master_NOUN sportsman_NOUN powerful_ADJ man_NOUN world_NOUN barry_PROPN armed_ADJ trump_NOUN unwittingly_ADV lethal_ADJ force_NOUN barry_PROPN think_VERB killary_ADJ lose_VERB url_NOUN,user meuller master sportsman man world barry trump force barry url
Anyone have any guesses as to what @USER @USER &amp; @USER will lie about this week?? A) The world is ending Friday B) Give me all your money &amp; I'll triple it by tomorrow C) @USER knows everything - just listen to her D) #MAGA,OFF,anyone have any guesses as to what user &amp; user will lie about this week ? ? a) the world is ending friday b) give me all your money &amp; i'll triple it by tomorrow c) user knows everything - just listen to her d) maga,0.0,0.17647058823529413,0.25,guess_NOUN user_NOUN amp_PROPN user_NOUN lie_VERB week_NOUN world_NOUN end_VERB friday_PROPN b_PROPN money_NOUN amp_PROPN triple_VERB tomorrow_NOUN c_NOUN user_NOUN know_VERB listen_VERB d_PROPN maga_NOUN,guess user amp user week world friday b money amp tomorrow c user d maga
@USER @USER @USER They should consider gang squad units. They should consider controlling the dope epidemic. They should consider a lot of things. But the loosing left would disagree and just scream gun control,OFF,user they should consider gang squad units. they should consider controlling the dope epidemic. they should consider a lot of things. but the loosing left would disagree and just scream gun control,0.0,0.0,0.25,user_NOUN consider_VERB gang_NOUN squad_NOUN unit_NOUN consider_VERB control_VERB dope_NOUN epidemic_NOUN consider_VERB lot_NOUN thing_NOUN loosing_ADJ left_NOUN disagree_VERB scream_VERB gun_NOUN control_NOUN,user gang squad unit dope epidemic lot thing left gun control
@USER She is buttering the media up...  Guilty...,NOT,user she is buttering the media up... guilty...,0.0,0.11764705882352941,0.0625,user_NOUN butter_VERB medium_NOUN guilty_ADJ,user medium
@USER @USER She is so stupid it scares us average Americans that she makes decisions on our behalf,OFF,user she is so stupid it scares us average americans that she makes decisions on our behalf,0.0,0.0,0.0625,user_NOUN stupid_ADJ scare_VERB average_ADJ americans_PROPN make_VERB decision_NOUN behalf_NOUN,user americans decision behalf
@USER If he’d just said “give me a lawyer asshole” they’d have given him Dershowitz.,OFF,user if he’d just said “give me a lawyer asshole” they’d have given him dershowitz.,0.0,0.058823529411764705,0.0625,user_NOUN say_VERB lawyer_NOUN asshole_NOUN give_VERB dershowitz_NOUN,user lawyer asshole dershowitz
#MAGA you ignorant dupes. Everyone knows this is just not true. URL,OFF,maga you ignorant dupes. everyone knows this is just not true. url,0.0,0.058823529411764705,0.1875,maga_VERB ignorant_ADJ dupe_NOUN know_VERB true_ADJ url_PROPN,dupe url
@USER @USER She is the CEO of ATMOS research &amp; consulting She profits by spreading gloom &amp; telling cities how they can combat climate change Snake oil salesmen are cheaper on taxpayers URL,NOT,user she is the ceo of atmos research &amp; consulting she profits by spreading gloom &amp; telling cities how they can combat climate change snake oil salesmen are cheaper on taxpayers url,0.0,0.058823529411764705,0.0625,user_NOUN ceo_NOUN atmos_PROPN research_PROPN amp_PROPN consult_VERB profit_VERB spread_VERB gloom_NOUN amp_NOUN tell_VERB city_NOUN combat_VERB climate_NOUN change_NOUN snake_NOUN oil_NOUN salesman_NOUN cheap_ADJ taxpayer_NOUN url_SPACE,user ceo atmos research amp gloom amp city climate change snake oil salesman taxpayer
@USER @USER I respected Ron Paul and Dennis Kucinich most in congress,NOT,user i respected ron paul and dennis kucinich most in congress,0.0,0.058823529411764705,0.0625,user_NOUN respect_VERB ron_PROPN paul_PROPN dennis_PROPN kucinich_PROPN congress_PROPN,user ron paul dennis kucinich congress
"@USER @USER We need a marijuana lobby that can bribe the GOP like big pharma does. Otherwise, you're screwed. Just because it's good for America, that means nothing... see gun control""""",OFF,"user we need a marijuana lobby that can bribe the gop like big pharma does. otherwise, you're screwed. just because it's good for america, that means nothing... see gun control""""",0.2,0.058823529411764705,0.1875,user_NOUN need_VERB marijuana_PROPN lobby_NOUN bribe_VERB gop_PROPN like_ADP big_PROPN pharma_PROPN screw_VERB good_ADJ america_PROPN mean_VERB gun_NOUN control_NOUN,user marijuana lobby gop big pharma america gun control
@USER @USER She is great,NOT,user she is great,0.0,0.0,0.0625,user_NOUN great_ADJ,user
@USER I didn’t tweet this lol I needa get my Twitter off this shit,OFF,user i didn’t tweet this lol i needa get my twitter off this shit,0.0,0.058823529411764705,0.0625,user_NOUN tweet_VERB lol_NOUN needa_NOUN twitter_NOUN shit_NOUN,user lol needa twitter shit
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You ladies always make me smile..if you know what I mean 😛,NOT,user you ladies always make me smile..if you know what i mean 😛,0.0,0.0,0.0625,user_NOUN lady_NOUN smile_NOUN know_VERB mean_VERB 😛_VERB,user lady smile
@USER Lucky bitch! 😂💀,OFF,user lucky bitch ! 😂💀,0.0,0.058823529411764705,0.125,user_NOUN lucky_ADJ bitch_NOUN 😂_VERB 💀_SPACE,user bitch
@USER He is kidding no one. His paper towel throwing stunt was seen around the world. He looked the ridiculous clown yet again. And we as a nation were scorned for the epic fail of a rescue mission to Puerto Rico.,OFF,user he is kidding no one. his paper towel throwing stunt was seen around the world. he looked the ridiculous clown yet again. and we as a nation were scorned for the epic fail of a rescue mission to puerto rico.,0.2,0.058823529411764705,0.25,user_NOUN kid_VERB paper_NOUN towel_NOUN throw_VERB stunt_NOUN see_VERB world_NOUN look_VERB ridiculous_ADJ clown_NOUN nation_NOUN scorn_VERB epic_ADJ fail_NOUN rescue_NOUN mission_NOUN puerto_PROPN rico_PROPN,user paper towel stunt world clown nation fail rescue mission puerto rico
@USER Another negative Democrat who refuses to disappear!,OFF,user another negative democrat who refuses to disappear !,0.0,0.058823529411764705,0.0625,user_NOUN negative_ADJ democrat_PROPN refuse_VERB disappear_VERB,user democrat
@USER This sicko thinks that others scheme and lie like he and a lot of the liberals do. Remember Rham Emanuel’s famous quote “You never let a serious crisis go to waste”,OFF,user this sicko thinks that others scheme and lie like he and a lot of the liberals do. remember rham emanuel’s famous quote “you never let a serious crisis go to waste”,0.2,0.058823529411764705,0.125,user_NOUN sicko_NOUN think_VERB scheme_NOUN lie_VERB like_SCONJ lot_NOUN liberal_NOUN remember_VERB rham_PROPN emanuel_PROPN famous_ADJ quote_INTJ let_VERB crisis_NOUN waste_NOUN,user sicko scheme lot liberal rham emanuel crisis waste
@USER WHAT i cant like HE IS LEGIT WATCHING my ever move In Rehab!!!,OFF,user what i cant like he is legit watching my ever move in rehab ! ! !,0.0,0.11764705882352941,0.0625,user_NOUN not_PART like_VERB legit_VERB watch_VERB rehab_PROPN,user rehab
@USER Ur head bout big as shit,OFF,user ur head bout big as shit,0.0,0.058823529411764705,0.0625,user_PROPN ur_PROPN head_VERB bout_NOUN big_ADJ shit_NOUN,user ur bout shit
Captain Maga getting slandered? And it wasn’t from me? Damn. URL,OFF,captain maga getting slandered ? and it wasn’t from me ? damn. url,0.0,0.0,0.25,captain_NOUN maga_NOUN getting_AUX slander_VERB damn_INTJ url_PROPN,captain maga url
@USER @USER @USER @USER @USER @USER He is a crook,OFF,user he is a crook,0.0,0.0,0.0625,user_NOUN crook_NOUN,user crook
@USER @USER And he is out for game 2.  He has played like 6 games in 4 years. The team can no longer depend on him. Get somebody here that actually plays football games.,NOT,user and he is out for game 2. he has played like 6 games in 4 years. the team can no longer depend on him. get somebody here that actually plays football games.,0.0,0.0,0.25,user_NOUN game_NOUN 2_NUM play_VERB like_ADP 6_NUM game_NOUN 4_NUM year_NOUN team_NOUN long_ADV depend_VERB somebody_PRON actually_ADV play_VERB football_NOUN game_NOUN,user game game year team football game
"@USER You might as well go to your Walmart cashier to get info on nuclear fusion as go to nbc for gun info. With the crap the media feeds these empty brains it's no wonder we have gun control cultists and universal background checks"" #GunSense #GunControlNow #GunControl""",OFF,"user you might as well go to your walmart cashier to get info on nuclear fusion as go to nbc for gun info. with the crap the media feeds these empty brains it's no wonder we have gun control cultists and universal background checks"" gunsense guncontrolnow guncontrol""",0.0,0.23529411764705882,0.125,user_NOUN walmart_PROPN cashier_NOUN info_NOUN nuclear_ADJ fusion_NOUN nbc_PROPN gun_NOUN info_NOUN crap_NOUN medium_NOUN feed_VERB brain_NOUN wonder_NOUN gun_NOUN control_NOUN cultist_NOUN universal_ADJ background_NOUN check_NOUN gunsense_NOUN guncontrolnow_NOUN guncontrol_NOUN,user walmart cashier info fusion nbc gun info crap medium brain wonder gun control cultist background check gunsense guncontrolnow guncontrol
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Sanctions used to be the action of last resort now its there weapon of first choice"" When was this? Taking account of this graph URL  from URL &amp; URL",NOT,"user sanctions used to be the action of last resort now its there weapon of first choice"" when was this ? taking account of this graph url from url &amp; url",0.0,0.058823529411764705,0.125,user_NOUN sanction_NOUN action_NOUN resort_NOUN weapon_NOUN choice_NOUN take_VERB account_NOUN graph_NOUN url_NOUN url_PROPN amp_PROPN url_ADJ,user sanction action resort weapon choice account graph url url amp
14. On stan twitter i texted Steph this morning abt the Thing I just love how nice and kind she is she deserves the world,NOT,14. on stan twitter i texted steph this morning abt the thing i just love how nice and kind she is she deserves the world,0.2,0.0,0.125,14_NUM stan_PROPN twitter_NOUN texte_VERB steph_NOUN morning_NOUN abt_VERB thing_NOUN love_VERB nice_ADJ kind_ADV deserve_VERB world_NOUN,stan twitter steph morning thing world
@USER Lmfaooooo foh w that free thought shit Lmaoooo,OFF,user lmfaooooo foh w that free thought shit lmaoooo,0.0,0.058823529411764705,0.0625,user_PROPN lmfaooooo_PROPN foh_PROPN w_ADP free_PROPN think_VERB shit_NOUN lmaoooo_VERB,user lmfaooooo foh free shit
So summer camp is relatable to detention centers? Liberals will paint any picture to get a non-existent point across. #maga URL,NOT,so summer camp is relatable to detention centers ? liberals will paint any picture to get a non-existent point across. maga url,0.0,0.0,0.1875,summer_NOUN camp_NOUN relatable_ADJ detention_NOUN center_NOUN liberal_NOUN paint_VERB picture_NOUN non_ADJ existent_ADJ point_NOUN maga_VERB url_ADV,summer camp detention center liberal picture point
@USER Another person that should be blocked is @ CamilleKruger42. This person isn't vulgar but has some sort of agenda where he\she is copy &amp; pasting every one of Ed's tweets &amp; passing them off as their own. EVERY SINGLE TWEET. It's sick &amp; creepy.,NOT,user another person that should be blocked is  camillekruger42. this person isn't vulgar but has some sort of agenda where he\she is copy &amp; pasting every one of ed's tweets &amp; passing them off as their own. every single tweet. it's sick &amp; creepy.,0.0,0.058823529411764705,0.25,user_NOUN person_NOUN block_VERB  _SPACE camillekruger42_NOUN person_NOUN vulgar_ADJ sort_NOUN agenda_NOUN he\she_PROPN copy_NOUN amp_PROPN paste_VERB ed_PROPN tweet_NOUN amp_PROPN pass_VERB single_ADJ tweet_NOUN sick_ADJ amp_PROPN creepy_ADJ,user person camillekruger42 person sort agenda he\she copy amp ed tweet amp tweet amp
@USER what happened to your kids ? how are they still alive? you are a backstabber and a fraud,OFF,user what happened to your kids  ? how are they still alive ? you are a backstabber and a fraud,0.0,0.058823529411764705,0.1875,user_NOUN happen_VERB kid_NOUN  _SPACE alive_ADJ backstabber_NOUN fraud_NOUN,user kid backstabber fraud
@USER Has this tweet been deleted?,NOT,user has this tweet been deleted ?,0.0,0.058823529411764705,0.0625,user_NOUN tweet_NOUN delete_VERB,user tweet
@USER @USER Stop wasting your time and breath with @USER He is a complete waste of space. Why not speak with the Few decent folks on Fox like Baer or Shep ?,NOT,user stop wasting your time and breath with user he is a complete waste of space. why not speak with the few decent folks on fox like baer or shep  ?,0.0,0.11764705882352941,0.125,user_NOUN stop_VERB waste_VERB time_NOUN breath_NOUN user_NOUN complete_ADJ waste_NOUN space_NOUN speak_VERB decent_ADJ folk_NOUN fox_NOUN like_ADP baer_NOUN shep_ADJ  _SPACE,user time breath user waste space folk fox baer
@USER Ummm you can't hear what she hears because you're not bat poop crazy like she is.,OFF,user ummm you can't hear what she hears because you're not bat poop crazy like she is.,0.0,0.058823529411764705,0.0625,user_PROPN ummm_VERB hear_VERB hear_VERB bat_VERB poop_NOUN crazy_ADJ like_SCONJ,user poop
@USER @USER @USER You are so pretty!!??,NOT,user you are so pretty ! ! ? ?,0.0,0.0,0.0625,user_NOUN pretty_ADJ,user
@USER been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,NOT,user been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,0.0,0.058823529411764705,0.0625,user_NOUN support_VERB ur_PROPN game_NOUN year_NOUN u_PRON know_VERB time_NOUN u_PROPN giys_PROPN free_ADJ able_ADJ communicate_VERB like_SCONJ lt;3_ADP hopefully_ADV brother_NOUN,user ur game year time u giys brother
@USER @USER I don't like the idea of supporting this company. URL,NOT,user i don't like the idea of supporting this company. url,0.0,0.0,0.125,user_NOUN like_VERB idea_NOUN support_VERB company_NOUN url_PROPN,user idea company url
@USER sexy,OFF,user sexy,0.0,0.058823529411764705,0.0625,user_NOUN sexy_VERB,user
@USER @USER So I'm not sure she is a woman for one mostly men throw out insults like that to each other or mean ugly feminist cat women with penis envy,OFF,user so i'm not sure she is a woman for one mostly men throw out insults like that to each other or mean ugly feminist cat women with penis envy,0.0,0.0,0.0625,user_PROPN sure_ADJ woman_NOUN man_NOUN throw_VERB insult_NOUN like_ADP mean_VERB ugly_ADJ feminist_ADJ cat_NOUN woman_NOUN penis_NOUN envy_NOUN,user woman man insult cat woman penis envy
@USER @USER American terrorists. We need strict punishment for these lawless thugs. STOP powdering Antifa’s ass.  #BackTheBlue 💙🖤 #gettough,OFF,user american terrorists. we need strict punishment for these lawless thugs. stop powdering antifa’s ass. backtheblue 💙🖤 gettough,0.0,0.0,0.25,user_PROPN american_ADJ terrorist_NOUN need_VERB strict_ADJ punishment_NOUN lawless_ADJ thug_NOUN stop_VERB powdering_PROPN antifa_PROPN ass_PROPN backtheblue_PROPN 💙_SPACE 🖤_PROPN gettough_NOUN,user terrorist punishment thug powdering antifa ass backtheblue 🖤 gettough
@USER He is adorable @USER,NOT,user he is adorable user,0.0,0.11764705882352941,0.0625,user_NOUN adorable_ADJ user_NOUN,user user
@USER Any Texan that would grant automatic citizenship to illegal immigrants should never be elected.,OFF,user any texan that would grant automatic citizenship to illegal immigrants should never be elected.,0.0,0.058823529411764705,0.0625,user_NOUN texan_NOUN grant_VERB automatic_ADJ citizenship_NOUN illegal_ADJ immigrant_NOUN elect_VERB,user texan citizenship immigrant
@USER The guy is not even a white Romanian he is a gypsy!,OFF,user the guy is not even a white romanian he is a gypsy !,0.0,0.058823529411764705,0.0625,user_NOUN guy_NOUN white_ADJ romanian_NOUN gypsy_NOUN,user guy romanian gypsy
@USER Hillary was counting chickens before they were hatched remember?,NOT,user hillary was counting chickens before they were hatched remember ?,0.0,0.0,0.0625,user_PROPN hillary_PROPN count_VERB chicken_NOUN hatch_VERB remember_VERB,user hillary chicken
@USER @USER @USER If you think billionaires are truly liberal than you are the fool. They are playing their part in public but if they were truly Liberals homelessness would end. You are being played like a fiddle,NOT,user if you think billionaires are truly liberal than you are the fool. they are playing their part in public but if they were truly liberals homelessness would end. you are being played like a fiddle,0.0,0.0,0.1875,user_NOUN think_VERB billionaire_NOUN truly_ADV liberal_ADJ fool_NOUN play_VERB public_ADJ truly_ADV liberal_NOUN homelessness_ADJ end_VERB play_VERB like_ADP fiddle_NOUN,user billionaire fool liberal fiddle
@USER @USER There’s no crying in politics,NOT,user there’s no crying in politics,0.0,0.0,0.0625,user_PROPN crying_NOUN politic_NOUN,user crying politic
@USER as Libertarian all this shows me is how ugly and divisive the two party system is. Liberals are actually a lot uglier. All straight men need to leave the Democratic party. A party of men hatred. Leave!,OFF,user as libertarian all this shows me is how ugly and divisive the two party system is. liberals are actually a lot uglier. all straight men need to leave the democratic party. a party of men hatred. leave !,0.0,0.058823529411764705,0.3125,user_NOUN libertarian_VERB show_VERB ugly_ADJ divisive_ADJ party_NOUN system_NOUN liberal_NOUN actually_ADV lot_NOUN ugly_ADJ straight_ADJ man_NOUN need_VERB leave_VERB democratic_ADJ party_NOUN party_NOUN man_NOUN hatre_VERB leave_VERB,user party system liberal lot man party party man
@USER @USER @USER @USER @USER @USER @USER @USER Right I'm stopping replying to anymore of your nonsense but going to keep following you to warm others of your dangerous take on society - you pal are the biggest fake going and been proved and just like all the rest of antifa are bloody dangerous,OFF,user right i'm stopping replying to anymore of your nonsense but going to keep following you to warm others of your dangerous take on society - you pal are the biggest fake going and been proved and just like all the rest of antifa are bloody dangerous,0.0,0.058823529411764705,0.0625,user_PROPN right_INTJ stop_VERB reply_VERB anymore_ADV nonsense_NOUN go_VERB follow_VERB warm_VERB dangerous_ADJ society_NOUN pal_NOUN big_ADJ fake_ADJ going_NOUN prove_VERB like_ADP rest_NOUN antifa_PROPN bloody_ADJ dangerous_ADJ,user nonsense society pal going rest antifa
@USER @USER @USER This is what I get from Twitter liberals. URL,NOT,user this is what i get from twitter liberals. url,0.0,0.058823529411764705,0.125,user_NOUN twitter_PROPN liberal_NOUN url_PROPN,user twitter liberal url
@USER @USER TWO YEARS TO HAND HER HOMEWORK IN......AND ITS STILL LAST MINUTE AND UNPREPARED. @USER PARTY OF BUSINESS😂🤣😂🤣😂🤣 CANT EVEN COBBLE A CONTRACT PROPOSAL TOGETHER IN 24 MONTHS. WOULD NEVER SURVIVE IN A REAL WORLD BUSINESS. @USER @USER @USER,NOT,user two years to hand her homework in......and its still last minute and unprepared. user party of business😂🤣😂🤣😂🤣 cant even cobble a contract proposal together in 24 months. would never survive in a real world business. user,0.0,0.17647058823529413,0.3125,user_NOUN year_NOUN hand_VERB homework_NOUN minute_NOUN unprepared_ADJ user_PROPN party_PROPN business_NOUN 😂_PROPN 🤣_PROPN 😂_PROPN 🤣_PROPN 😂_PROPN 🤣_PROPN not_PART cobble_VERB contract_NOUN proposal_NOUN 24_NUM month_NOUN survive_VERB real_ADJ world_NOUN business_NOUN user_NOUN,user year homework minute user party business 😂 🤣 😂 🤣 😂 🤣 contract proposal month world business user
People are sick of books from crooks.   #MAGA #RedWaveRising URL,NOT,people are sick of books from crooks. maga redwaverising url,0.0,0.0,0.125,people_NOUN sick_ADJ book_NOUN crook_NOUN maga_NOUN redwaverise_VERB url_ADV,people book crook maga
